"","id","csduid","cases_AM_ad","cases_AM_ped","cases_AM_sr","cases_AT_ad","cases_AT_ped","cases_AT_sr","cases_CR_ad","cases_CR_ped","cases_CR_sr","cases_GR_ad","cases_GR_sr","cases_MH_ad","cases_MH_ped","cases_MH_sr","cases_GR_ped","demand.days.total_AM_ad","demand.days.total_AM_ped","demand.days.total_AM_sr","demand.days.total_AT_ad","demand.days.total_AT_ped","demand.days.total_AT_sr","demand.days.total_CR_ad","demand.days.total_CR_ped","demand.days.total_CR_sr","demand.days.total_GR_ad","demand.days.total_GR_sr","demand.days.total_MH_ad","demand.days.total_MH_ped","demand.days.total_MH_sr","demand.days.total_GR_ped","demand.days.nonALC_AM_ad","demand.days.nonALC_AM_ped","demand.days.nonALC_AM_sr","demand.days.nonALC_AT_ad","demand.days.nonALC_AT_ped","demand.days.nonALC_AT_sr","demand.days.nonALC_CR_ad","demand.days.nonALC_CR_ped","demand.days.nonALC_CR_sr","demand.days.nonALC_GR_ad","demand.days.nonALC_GR_sr","demand.days.nonALC_MH_ad","demand.days.nonALC_MH_ped","demand.days.nonALC_MH_sr","demand.days.nonALC_GR_ped","demand.days.LTC_AM_ad","demand.days.LTC_AM_ped","demand.days.LTC_AM_sr","demand.days.LTC_AT_ad","demand.days.LTC_AT_ped","demand.days.LTC_AT_sr","demand.days.LTC_CR_ad","demand.days.LTC_CR_ped","demand.days.LTC_CR_sr","demand.days.LTC_GR_ad","demand.days.LTC_GR_sr","demand.days.LTC_MH_ad","demand.days.LTC_MH_ped","demand.days.LTC_MH_sr","demand.days.LTC_GR_ped","demand.days.ALC.ex.LTC_AM_ad","demand.days.ALC.ex.LTC_AM_ped","demand.days.ALC.ex.LTC_AM_sr","demand.days.ALC.ex.LTC_AT_ad","demand.days.ALC.ex.LTC_AT_ped","demand.days.ALC.ex.LTC_AT_sr","demand.days.ALC.ex.LTC_CR_ad","demand.days.ALC.ex.LTC_CR_ped","demand.days.ALC.ex.LTC_CR_sr","demand.days.ALC.ex.LTC_GR_ad","demand.days.ALC.ex.LTC_GR_sr","demand.days.ALC.ex.LTC_MH_ad","demand.days.ALC.ex.LTC_MH_ped","demand.days.ALC.ex.LTC_MH_sr","demand.days.ALC.ex.LTC_GR_ped","sum.cases","sum.demand.days.total_AM","sum.demand.days.total_AT","sum.demand.days.total_CR","sum.demand.days.total_GR","sum.demand.days.total_MH","sum.demand.days","sum.LTC.days_AM","sum.LTC.days_AT","sum.LTC.days_CR","sum.LTC.days_GR","sum.LTC.days_MH","sum.LTC.days","sum.ALC.ex.LTC.days_AM","sum.ALC.ex.LTC.days_AT","sum.ALC.ex.LTC.days_CR","sum.ALC.ex.LTC.days_GR","sum.ALC.ex.LTC.days_MH","sum.ALC.ex.LTC.days","beds.needed_AM","beds.needed_AT","beds.needed_CR","beds.needed_GR","beds.needed_MH","total.hosp.beds.needed","beds.existing","beds.existing.CR","beds.existing.GR","beds.existing.MH","beds.existing.AT","beds.forecasted.AT","beds.forecasted.CR","beds.forecasted.GR","beds.forecasted.MH","beds.forecasted","utilization.AM","utilization.AT","utilization.CR","utilization.GR","utilization.MH","utilization","utilization.AT.existing","utilization.CR.existing","utilization.GR.existing","utilization.MH.existing","utilization.existing","hosp.caretype.travel.time.total_AM","hosp.caretype.travel.time.total_AT","hosp.caretype.travel.time.total_CR","hosp.caretype.travel.time.total_GR","hosp.caretype.travel.time.total_MH","hosp.caretype.travel.time.avg_AM","hosp.caretype.travel.time.avg_AT","hosp.caretype.travel.time.avg_CR","hosp.caretype.travel.time.avg_GR","hosp.caretype.travel.time.avg_MH","hosp.caretype.travel.distance.total_AM","hosp.caretype.travel.distance.total_AT","hosp.caretype.travel.distance.total_CR","hosp.caretype.travel.distance.total_GR","hosp.caretype.travel.distance.total_MH","hosp.caretype.travel.distance.avg_AM","hosp.caretype.travel.distance.avg_AT","hosp.caretype.travel.distance.avg_CR","hosp.caretype.travel.distance.avg_GR","hosp.caretype.travel.distance.avg_MH","hosp.travel.time.total","hosp.travel.time.avg","hosp.travel.distance.total","hosp.travel.distance.avg","cost_2018","hospital.lat","hospital.long","name","csdname"
"1",1,3509030,11277.9500107843,4134.80916361063,2146.4755371905,586.036834350945,292.95525234666,364.256923073484,14.7319894219664,1.0161756264389,64.7147998917485,0,0,0,0,0,0,0,0,0,2405.176914339,571.185240686478,3729.27269414754,2120.51533583343,185.960139638318,6830.85053325198,0,0,0,0,0,0,0,0,0,2104.05899720692,571.185240686478,3356.5096244317,1855.03583727094,185.960139638318,6148.06624195006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.117917132081,0,372.763069715842,265.479498562492,0,682.784291301913,0,0,0,0,0,0,18882.9466862967,0,6705.63484917302,9137.32600872373,0,0,15842.9608578967,0,0,0,0,0,0,0,673.880986847923,948.263789864405,0,0,1622.14477671233,0,19,26,0,0,45,52,26,0,0,26,26,26,0,0,52,0,0.706600089480824,0.962837303342859,NA,NA,0.834718696411841,0,0.962837303342859,NA,NA,0.834718696411841,1013500.87617151,61445.8268734948,3277.51153108864,NA,NA,28.8594831386021,24.7117940133362,20.3665843877762,NA,NA,1101437.36732174,66871.7037010006,3396.41821758266,NA,NA,31.3634786883686,26.8939300073576,21.1054751717689,NA,NA,1078224.21457609,28.5502107401108,1171705.48924033,31.0254937618034,0,45.228882,-76.189972,"ALMONTE GENERAL HOSPITAL","Mississippi Mills"
"2",2,3501050,10861.6082434599,2534.19980197416,2434.33352968391,170.92882365567,0,320.56584903905,8.52179372508684,0,16.9868685251493,35.3621498684038,59.9741218397109,0,0,0,0,0,0,0,1603.4515108682,0,3381.76750264968,635.915872972725,0,776.129070398628,1324.15121030356,1869.29847991353,0,0,0,0,0,0,0,1478.34440370637,0,3075.34716964292,586.299408285974,0,705.804387219955,1220.83612640918,1699.92224034197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.107107161833,0,306.420333006753,49.6164646867508,0,70.3246831786724,103.31508389438,169.376239571564,0,0,0,0,16442.481181771,0,4985.21901351788,1412.04494337135,3193.44969021709,0,9590.71364710633,0,0,0,0,0,0,0,431.527440168586,119.941147865423,272.691323465944,0,824.159911499953,0,14,4,9,0,27,37,5,10,0,22,22,5,10,0,37,0,0.620824285618665,0.773723256641837,0.874917723347148,NA,0.710160210818684,0,0.773723256641837,0.874917723347148,NA,0.710160210818684,805253.714532137,18375.6050403003,1023.85770662682,5903.75218077422,NA,25.4341918141101,18.6935953339558,20.0688240054089,30.9627808755171,NA,925923.557329881,19603.6409116416,1094.5152386674,6851.14516863483,NA,29.245586747792,19.9428823960193,21.453795340782,35.9314720718814,NA,830556.929459839,25.2564354575828,953472.858648825,28.9941903569242,0,45.305647,-74.643967,"GLENGARRY MEMORIAL HOSPITAL","North Glengarry"
"3",3,3501030,19587.594910339,3592.63693387864,4534.45132543533,983.543642338131,466.21667455179,426.383018613955,10.5944828865885,0,55.4753555370965,0,0,0,0,0,0,0,0,0,3066.55137822674,689.687457831782,2539.71058896227,192.944519038828,0,1118.82875425185,0,0,0,0,0,0,0,0,0,2827.28790858471,689.687457831782,2309.58862942459,177.890287304306,0,1017.45221692728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.263469642029,0,230.121959537681,15.0542317345218,0,101.37653732457,0,0,0,0,0,0,29656.8963435806,0,6295.94942502079,1311.77327329068,0,0,7607.72269831147,0,0,0,0,0,0,0,469.38542917971,116.430769059092,0,0,585.816198238802,0,18,4,0,0,22,49,12,0,0,37,37,12,0,0,49,0,0.466193959646116,0.299491614906548,NA,NA,0.425368895628262,0,0.299491614906548,NA,NA,0.425368895628262,1936247.89182111,138458.59988089,3876.38019066779,NA,NA,34.9318063635895,36.8997925853316,29.3354750302989,NA,NA,2230271.29118559,159481.191465888,4207.76772541854,NA,NA,40.2362761560934,42.5024006556131,31.8433329474446,NA,NA,2078582.87189266,35.0438368164339,2393960.25037689,40.3609370084183,0,45.088786,-75.353328,"WINCHESTER DISTRICT MEMORIAL HOSPITAL","North Dundas"
"4",4,3507065,19390.8249649484,4346.89514284683,3439.91811759766,480.429069588404,1.11073840831255,402.260467544995,3.65224730615511,0,14.8057498764833,0,0,0,0,0,0,0,0,0,2312.63877388115,1.11073840831255,5601.16136464225,69.4518434817869,0,1027.73104618749,0,0,0,0,0,0,0,0,0,1888.45180441195,1.11073840831255,2856.25852829965,56.7129032965253,0,524.081592078683,0,0,0,0,0,0,0,0,0,272.042827526075,0,2187.60034517143,8.16983442942771,0,401.392612177803,0,0,0,0,0,0,0,0,0,152.144141943128,0,557.302491171175,4.56910575583384,0,102.256841930999,0,0,0,0,0,0,28079.8964981172,0,7914.91087693171,1097.18288966927,0,0,9012.09376660098,0,2459.64317269751,409.56244660723,0,0,2869.20561930474,0,709.446633114303,106.825947686833,0,0,816.272580801136,0,22,4,0,0,26,25,1,0,0,24,24,4,0,0,28,0,0.903528638919145,0.751495129910461,NA,NA,0.881809566203619,0,3.00598051964184,NA,NA,0.987626714148053,1733772.17874332,53631.3310581251,561.172681803025,NA,NA,31.8970354297269,30.3413183624844,15.2013427093505,NA,NA,2075745.80368081,61564.0468988357,585.389150388364,NA,NA,38.1884876541881,34.8291625396365,15.8573312314453,NA,NA,1787964.68248324,31.8370953148479,2137895.23973004,38.0680754979525,2832579,45.009804,-75.64183,"KEMPTVILLE DISTRICT HOSPITAL","North Grenville"
"5",5,3512076,7059.6537132688,1988.75511836243,1950.43603047043,40.3884068476161,0,61.7807211271577,1.0979067165475,0,2.36569016868925,0,0,0,0,0,0,0,0,0,480.623365844684,0,948.286259265327,262.635336773056,0,271.447596632828,0,0,0,0,0,0,0,0,0,430.094803371852,0,813.572133721656,235.024140637413,0,232.885585157882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5285624728312,0,134.714125543671,27.6111961356429,0,38.5620114749454,0,0,0,0,0,0,11104.4775869617,0,1428.90962511001,534.082933405884,0,0,1962.99255851589,0,0,0,0,0,0,0,185.242688016502,66.1732076105883,0,0,251.415895627091,0,4,2,0,0,6,20,10,0,0,10,10,10,0,0,20,0,0.391482089071236,0.146324091344078,NA,NA,0.268903090207657,0,0.146324091344078,NA,NA,0.268903090207657,1409093.99542369,8682.97909041148,288.088003078952,NA,NA,64.0564537953871,42.4931643370557,41.5879810244229,NA,NA,1658492.84720591,9408.04332699014,310.658661829625,NA,NA,75.3939558198753,46.0415172052415,44.8462497402306,NA,NA,1418065.06251718,63.8510479854633,1668211.54919473,75.1143642792103,0,45.481998,-77.694622,"ST FRANCIS MEMORIAL HOSPITAL","Hastings Highlands"
"6",6,3547096,8379.18145227283,3754.09282037468,1349.34206921646,94.2685520983739,0.153105709684006,116.199386464858,0,0,0,0,0,0,0,0,0,0,0,0,543.473223369046,0.459317129052017,1517.84874713287,0,0,0,0,0,0,0,0,0,0,0,0,466.318050732577,0.459317129052017,1285.71820930151,0,0,0,0,0,0,0,0,0,0,0,0,16.5965358405271,0,87.1974590385568,0,0,0,0,0,0,0,0,0,0,0,0,60.5586367959422,0,144.933078792809,0,0,0,0,0,0,0,0,0,13693.2373861369,0,2061.78128763097,0,0,0,2061.78128763097,0,103.793994879084,0,0,0,103.793994879084,0,205.491715588751,0,0,0,205.491715588751,0,6,0,0,0,6,12,0,0,0,12,12,0,0,0,12,0,0.470726321376934,NA,NA,NA,0.470726321376934,0,NA,NA,NA,0.470726321376934,1108620.47032205,16656.6945034638,NA,NA,NA,41.1129576861039,39.5418571799516,NA,NA,NA,1248484.89980708,16153.7253136393,NA,NA,NA,46.2998007267512,38.3478426132668,NA,NA,NA,1125277.16482552,41.0887919742323,1264638.62512072,46.1774885463188,0,46.090867,-77.475004,"DEEP RIVER AND DISTRICT HOSPITAL","Deep River"
"7",7,3513020,15391.8217628029,3869.95446912927,3479.48805761243,360.577578574029,0,508.685641650253,0,0,0,0,0,0,0,0,0,0,0,0,1610.44124302915,0,2690.80472407541,0,0,0,0,0,0,0,0,0,0,0,0,868.838527095931,0,1563.00356629167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741.602715933219,0,1127.80115778374,0,0,0,0,0,0,0,0,0,23610.5275097689,0,4301.24596710456,0,0,0,4301.24596710456,0,0,0,0,0,0,0,1869.40387371696,0,0,0,1869.40387371696,0,12,0,0,0,12,16,0,0,0,16,16,0,0,0,16,0,0.736514720394616,NA,NA,NA,0.736514720394616,0,NA,NA,NA,0.736514720394616,1728635.58775992,50487.4097813924,NA,NA,NA,38.0065849846937,29.0403462419392,NA,NA,NA,1967172.6099013,54428.7455702462,NA,NA,NA,43.2511707540752,31.3074016614915,NA,NA,NA,1779122.99754131,37.6764770885613,2021601.35547154,42.8114398256265,0,44.015867,-77.137543,"QUINTE HEALTHCARE CORPORATION-PICTON","Prince Edward County"
"8",8,3512061,8482.94789156063,2503.90778075375,1987.16867185172,132.931281331844,0.383677217197462,134.566352162798,0,0,0,0,0,0,0,0,0,0,0,0,535.559762266368,0.383677217197462,618.732944973004,0,0,0,0,0,0,0,0,0,0,0,0,479.255664653361,0.383677217197462,530.835364666742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3040976130064,0,87.8975803062618,0,0,0,0,0,0,0,0,0,13241.9056548779,0,1154.67638445657,0,0,0,1154.67638445657,0,0,0,0,0,0,0,144.201677919268,0,0,0,144.201677919268,0,4,0,0,0,4,6,0,0,0,6,6,0,0,0,6,0,0.527249490619438,NA,NA,NA,0.527249490619438,0,NA,NA,NA,0.527249490619438,1587303.84405213,22437.6566793434,NA,NA,NA,61.1723780511435,41.8798471228171,NA,NA,NA,1744787.86269527,22190.6265195634,NA,NA,NA,67.2415827352689,41.4187657597247,NA,NA,NA,1609741.50073148,60.7820937063728,1766978.48921484,66.7191919073949,0,45.055184,-77.864188,"QUINTE HEALTHCARE CORPORATION-BANCROFT","Bancroft"
"9",9,3514045,15490.6500515331,3926.51058805453,4001.39064699281,320.155015573564,1.48905617009515,450.916843548993,0,0,0,0,0,0,0,0,0,0,0,0,2876.88044183466,2.60584829766652,8252.36147139415,0,0,0,0,0,0,0,0,0,0,0,0,1352.51327928699,2.60584829766652,2908.67029526152,0,0,0,0,0,0,0,0,0,0,0,0,1212.41406239908,0,4783.09238567864,0,0,0,0,0,0,0,0,0,0,0,0,311.95310014858,0,560.598790453991,0,0,0,0,0,0,0,0,0,24191.1122018731,0,11131.8477615265,0,0,0,11131.8477615265,0,5995.50644807772,0,0,0,5995.50644807772,0,872.551890602572,0,0,0,872.551890602572,0,31,0,0,0,31,34,0,0,0,34,34,0,0,0,34,0,0.897006266037588,NA,NA,NA,0.897006266037588,0,NA,NA,NA,0.897006266037588,1429773.86270829,28619.4424216588,NA,NA,NA,30.5265224396608,18.522450369378,NA,NA,NA,1633883.85456321,31304.0502861449,NA,NA,NA,34.8843921762887,20.2599236296381,NA,NA,NA,1458393.30512995,30.1431635916481,1665187.90484935,34.4173490444234,0,44.31248,-77.790044,"CAMPBELLFORD MEMORIAL HOSPITAL","Trent Hills"
"10",10,3546024,8703.87855383232,3076.27742212201,2179.04007298286,94.9045324315094,0,160.819809886673,0,0,0,0,0,0,0,0,0,0,0,0,3078.70890527445,0,11002.1677575116,0,0,0,0,0,0,0,0,0,0,0,0,453.432766061656,0,1299.88083020826,0,0,0,0,0,0,0,0,0,0,0,0,2161.31835045308,0,8838.07100862443,0,0,0,0,0,0,0,0,0,0,0,0,463.957788759712,0,864.215918678924,0,0,0,0,0,0,0,0,0,14214.9203912554,0,14080.8766627861,0,0,0,14080.8766627861,0,10999.3893590775,0,0,0,10999.3893590775,0,1328.17370743864,0,0,0,1328.17370743864,0,39,0,0,0,39,15,0,0,0,15,39,0,0,0,39,0,0.989172930297581,NA,NA,NA,0.989172930297581,0,NA,NA,NA,2.57184961877371,1833661.7169963,21375.8432121283,NA,NA,NA,65.6793453780565,41.7946977951977,NA,NA,NA,2135100.97757525,24035.0301868828,NA,NA,NA,76.4765023032185,46.9940209230793,NA,NA,NA,1855037.56020842,65.2496640554383,2159136.00776213,75.9461167679268,27800592,45.038233,-78.529416,"HALIBURTON HIGHLANDS HLTH SERV CORP-HALI","Dysart and Others"
